run,auc_sl,acc_sl,ppv_sl,npv_sl,sens_sl,spec_sl,mean_auc_sl
36,0.605442177,NA,0.571428571,0.5,0.631578947,0.4375,NA
37,0.761363636,NA,0.666666667,0.545454545,0.761904762,0.428571429,NA
38,0.77173913,NA,0.695652174,0.75,0.842105263,0.5625,NA
39,0.640151515,NA,0.75,0.545454545,0.782608696,0.5,NA
40,0.684,NA,0.76,0.5,0.791666667,0.454545455,NA
41,0.772727273,NA,0.75,0.727272727,0.857142857,0.571428571,NA
42,0.72027972,NA,0.818181818,0.461538462,0.72,0.6,NA
43,0.79020979,NA,0.636363636,0.615384615,0.736842105,0.5,NA
44,0.756,NA,0.64,0.8,0.888888889,0.470588235,NA
45,0.68707483,NA,0.666666667,0.428571429,0.636363636,0.461538462,NA
46,0.746212121,NA,0.625,0.545454545,0.75,0.4,NA
47,0.723484848,NA,0.833333333,0.363636364,0.740740741,0.5,NA
48,0.667832168,NA,0.818181818,0.384615385,0.692307692,0.555555556,NA
49,0.676870748,NA,0.619047619,0.5,0.65,0.466666667,NA
50,0.708,NA,0.56,0.8,0.875,0.421052632,NA
51,0.64957265,NA,0.576923077,0.666666667,0.833333333,0.352941176,NA
52,0.733333333,NA,0.75,0.533333333,0.681818182,0.615384615,NA
53,0.782608696,NA,0.869565217,0.5,0.769230769,0.666666667,NA
54,0.82,NA,0.8,0.6,0.727272727,0.692307692,NA
55,0.615942029,NA,0.652173913,0.25,0.625,0.272727273,NA
56,0.597701149,NA,0.586206897,0.5,0.85,0.2,NA
57,0.699300699,NA,0.636363636,0.615384615,0.736842105,0.5,NA
58,0.739130435,NA,0.652173913,0.666666667,0.789473684,0.5,NA
59,0.815217391,NA,0.782608696,0.666666667,0.818181818,0.615384615,NA
60,0.83,NA,0.866666667,0.35,0.5,0.777777778,NA
61,0.867132867,NA,0.954545455,0.538461538,0.777777778,0.875,NA
62,0.726495726,NA,0.576923077,0.666666667,0.833333333,0.352941176,NA
63,0.75,NA,0.782608696,0.5,0.75,0.545454545,NA
64,0.670068027,NA,0.857142857,0.428571429,0.692307692,0.666666667,NA
65,0.787878788,NA,0.791666667,0.636363636,0.826086957,0.583333333,NA
66,0.777777778,NA,0.846153846,0.333333333,0.785714286,0.428571429,NA
67,0.868,NA,0.76,0.6,0.826086957,0.5,NA
68,0.876068376,NA,0.576923077,0.888888889,0.9375,0.421052632,NA
69,0.777777778,NA,0.692307692,0.555555556,0.818181818,0.384615385,NA
70,0.7,NA,0.8,0.4,0.769230769,0.444444444,NA
71,0.760204082,NA,0.785714286,0.571428571,0.88,0.4,NA
72,0.795918367,NA,0.666666667,0.714285714,0.777777778,0.588235294,NA
73,0.670289855,NA,0.826086957,0.25,0.678571429,0.428571429,NA
74,0.756410256,NA,0.769230769,0.444444444,0.8,0.4,NA
75,0.643356643,NA,0.681818182,0.384615385,0.652173913,0.416666667,NA
76,0.734848485,NA,0.666666667,0.636363636,0.8,0.466666667,NA
77,0.689393939,NA,0.75,0.363636364,0.72,0.4,NA
78,0.588435374,NA,0.571428571,0.642857143,0.705882353,0.5,NA
79,0.772727273,NA,0.818181818,0.538461538,0.75,0.636363636,NA
80,0.634868421,NA,0.526315789,0.75,0.714285714,0.571428571,NA
81,0.752136752,NA,0.730769231,0.666666667,0.863636364,0.461538462,NA
82,0.799145299,NA,0.692307692,0.666666667,0.857142857,0.428571429,NA
83,0.778985507,NA,0.826086957,0.5,0.76,0.6,NA
84,0.692307692,NA,0.636363636,0.538461538,0.7,0.466666667,NA
85,0.637681159,NA,0.652173913,0.5,0.714285714,0.428571429,NA
86,0.789855072,NA,0.565217391,0.916666667,0.928571429,0.523809524,NA
87,0.706666667,NA,0.666666667,0.6,0.909090909,0.230769231,NA
88,0.625,NA,0.583333333,0.545454545,0.736842105,0.375,NA
89,0.776,NA,0.64,0.6,0.8,0.4,NA
90,0.675925926,NA,0.666666667,0.625,0.857142857,0.357142857,NA
91,0.723776224,NA,0.818181818,0.384615385,0.692307692,0.555555556,NA
